,BEARING,mean_iwp,std_iwp,freq_iwp,mean_ted,std_ted,freq_ted,mean_species,std_species,freq_species,in_out,island,species,population_status,hum_pop,distant_hum_pop,group
161,160,36762.75724,19957.38768,1023924,0.550508682,0.821682077,213103,22.65331327,13.98555918,1138689,0,HAW,CORAL,1,185079,96224,9
162,170,34872.07781,21678.7037,1148711,0.75209782,1.187862396,251819,24.11319275,13.38586852,1580085,0,HAW,CORAL,1,185079,96224,9
163,180,29471.74241,21429.97402,1437739,0.768789339,1.223765591,263818,25.65606702,13.17659266,2217618,0,HAW,CORAL,1,185079,96224,9
164,190,26555.53511,20399.99916,1542972,0.745859501,1.236141338,271121,26.97999955,13.26891527,2224737,0,HAW,CORAL,1,185079,96224,9
165,200,23960.85263,19084.20648,1475045,0.717411756,1.175818029,260105,27.60569997,13.1805798,2079657,0,HAW,CORAL,1,185079,96224,9
166,210,20432.67422,16046.00172,1401839,0.569470276,0.983893969,247724,28.40964019,13.07845282,1906902,0,HAW,CORAL,1,185079,96224,9
167,220,17088.52324,13730.59426,1339208,0.423988518,0.759964106,239840,29.64827897,12.82331215,1685736,1,HAW,CORAL,1,185079,96224,9
168,230,13121.4804,10693.8476,1177038,0.296614087,0.47788331,201902,29.90231895,12.18692372,1351440,1,HAW,CORAL,1,185079,96224,9
169,240,10099.31663,7439.66043,947700,0.251591709,0.363830016,200238,30.93253974,12.0869605,751977,1,HAW,CORAL,1,185079,96224,9
170,250,9592.75114,5650.785876,882988,0.157208209,0.223270388,250566,32.24527578,11.00434708,351657,1,HAW,CORAL,1,185079,96224,9
171,260,7917.273544,4638.523519,856957,0.117412009,0.151444286,346225,32.97366703,10.80706169,203211,1,HAW,CORAL,1,185079,96224,9
172,270,6558.405396,4027.033808,866595,0.10028,0.131407536,486091,34.31337485,12.52154748,187722,1,HAW,CORAL,1,185079,96224,9
173,280,5357.441718,3512.712796,894407,0.071303863,0.102315793,712744,33.98894505,13.79369428,234954,1,HAW,CORAL,1,185079,96224,9
174,290,6700.966563,6418.624183,921967,0.042766577,0.072159897,1046271,31.64530244,15.74638404,359307,1,HAW,CORAL,1,185079,96224,9
175,300,20151.58589,17188.25291,1183332,0.027432313,0.053095429,1476040,26.12030383,15.85606355,925929,0,HAW,CORAL,1,185079,96224,9
176,310,37418.82003,24953.62894,1511417,0.02242957,0.052575075,2045660,20.85009206,14.91926222,1584117,0,HAW,CORAL,1,185079,96224,9
177,320,47709.2794,29153.76642,1601364,0.018997199,0.05130393,2332646,18.5367258,14.56747613,1765674,0,HAW,CORAL,1,185079,96224,9
178,330,54825.50971,29799.78852,1655679,0.013520852,0.0423345,2401220,17.04113729,14.2660667,1844937,0,HAW,CORAL,1,185079,96224,9
179,340,61713.62064,29316.44551,1598731,0.011397918,0.037385541,2373641,15.84701919,14.38083436,2012130,0,HAW,CORAL,1,185079,96224,9
180,350,70354.12631,27350.75278,1515458,0.008466776,0.028599682,1753444,14.71471866,13.73712286,2220525,0,HAW,CORAL,1,185079,96224,9
181,0,84984.13962,14486.13651,1095938,0.005007474,0.016197817,1311910,3.553123677,8.24567281,1665054,1,HAW,MACROALGAE,1,185079,96224,9
182,10,88094.33769,11489.23283,934519,0.005506743,0.016396052,1028733,2.383216706,5.106407008,1332477,0,HAW,MACROALGAE,1,185079,96224,9
183,20,89217.41123,10827.73658,887035,0.007278631,0.021576404,823235,1.976254127,4.12584506,1253700,0,HAW,MACROALGAE,1,185079,96224,9
184,30,88142.61526,12198.21578,911607,0.011264449,0.033565775,800638,1.876748661,4.484539234,1147662,0,HAW,MACROALGAE,1,185079,96224,9
185,40,86308.57235,12444.16754,947191,0.018463104,0.053515481,765657,1.770994732,4.313925572,1278648,0,HAW,MACROALGAE,1,185079,96224,9
186,50,84976.67635,12303.72685,1000398,0.045847732,0.10947991,649179,1.719414299,4.199436514,1174491,0,HAW,MACROALGAE,1,185079,96224,9
187,60,82425.7223,13105.46915,1224917,0.150532524,0.306494874,624877,1.694764588,3.934415622,1256139,0,HAW,MACROALGAE,1,185079,96224,9
188,70,77502.8774,13631.23767,1376308,0.316155708,0.540588867,585498,1.657328933,3.369112765,1508022,0,HAW,MACROALGAE,1,185079,96224,9
189,80,72057.4232,12982.99227,1333651,0.489851093,0.706487565,543441,1.245731144,2.569683943,1461168,0,HAW,MACROALGAE,1,185079,96224,9
190,90,65042.54663,13917.92831,1336223,0.633655341,0.85614663,507980,1.102410928,2.355944109,1485279,0,HAW,MACROALGAE,1,185079,96224,9
